City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.2817,169.8464,48.58,89,23,5.08,few clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,37,9.89,scattered clouds
2,Sinnamary,GF,5.3833,-52.95,83.17,67,83,11.36,broken clouds
3,Bengkulu,ID,-3.8004,102.2655,77.52,90,100,4.76,light rain
4,Ayan,RU,56.45,138.1667,32.43,94,100,8.48,overcast clouds
5,Ilulissat,GL,69.2167,-51.1,23.02,42,20,10.36,few clouds
6,Santa Rosa,PH,14.3122,121.1114,84.18,76,100,8.63,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,2.3,scattered clouds
8,Jamestown,US,42.097,-79.2353,60.03,26,0,6.91,clear sky
9,Nanortalik,GL,60.1432,-45.2371,38.7,84,76,3.58,broken clouds
10,Chuy,UY,-33.6971,-53.4616,61.9,53,67,4.29,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,75.78,77,56,13.42,light rain
12,Barrow,US,71.2906,-156.7887,10.42,92,0,6.91,clear sky
13,Tasiilaq,GL,65.6145,-37.6368,44.76,45,59,13.71,broken clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,55.42,54,0,8.05,clear sky
15,Tuktoyaktuk,CA,69.4541,-133.0374,23.9,95,77,6.55,broken clouds
16,Alanya,TR,36.5438,31.9998,73.53,65,60,2.48,broken clouds
17,El Tarra,CO,8.5756,-73.0949,89.58,59,100,4.14,overcast clouds
18,Lavrentiya,RU,65.5833,-171,23.76,89,100,10.51,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,61,65,17,7.94,few clouds
20,New Norfolk,AU,-42.7826,147.0587,56.7,62,100,9.28,overcast clouds
21,Hilo,US,19.7297,-155.09,73.27,93,100,4.61,overcast clouds
22,Cidreira,BR,-30.1811,-50.2056,66.94,65,59,11.77,broken clouds
23,Cape Town,ZA,-33.9258,18.4232,64.35,68,44,4,scattered clouds
24,Mataura,NZ,-46.1927,168.8643,63.48,86,84,4.25,broken clouds
25,Port Alfred,ZA,-33.5906,26.891,63.18,75,2,5.01,clear sky
26,Songea,TZ,-10.6833,35.65,65.5,83,97,2.66,overcast clouds
27,Svetlogorsk,BY,52.6333,29.7333,50.58,53,54,4.83,broken clouds
28,Bluff,NZ,-46.6,168.3333,63.81,69,88,21.12,overcast clouds
29,Tabou,CI,4.423,-7.3528,84.6,68,99,7.47,overcast clouds
30,Paramirim,BR,-13.4425,-42.2389,84.11,44,21,8.97,few clouds
31,Pimentel,PE,-6.8367,-79.9342,75.49,60,0,6.91,clear sky
32,Russell,US,32.3502,-85.1999,78.96,65,40,8.05,scattered clouds
33,Lorengau,PG,-2.0226,147.2712,80.55,79,96,5.01,overcast clouds
34,Yellowknife,CA,62.456,-114.3525,23.56,62,66,8.01,broken clouds
35,Hobart,AU,-42.8794,147.3294,57.06,91,75,9.22,broken clouds
36,Airai,TL,-8.9266,125.4092,60.12,89,93,3.22,overcast clouds
37,Mahebourg,MU,-20.4081,57.7,77.29,83,40,5.75,scattered clouds
38,Beloha,MG,-25.1667,45.05,71.64,73,14,7.43,few clouds
39,Ushuaia,AR,-54.8,-68.3,42.42,87,0,4.61,clear sky
40,Hermanus,ZA,-34.4187,19.2345,60.8,80,49,6.44,scattered clouds
41,Gondanglegi,ID,-7.7479,112.0132,75.88,90,96,2.26,overcast clouds
42,Sisimiut,GL,66.9395,-53.6735,24.46,48,0,5.7,clear sky
43,Leningradskiy,RU,69.3833,178.4167,4.39,97,96,5.68,overcast clouds
