City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name,,,,,,,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel,,,,,,,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518
2,Sinnamary,GF,83.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary,,,,,,,Sinnamary,GF,83.17,broken clouds,5.3833,-52.95
3,Bengkulu,ID,77.52,light rain,-3.8004,102.2655,Grage Hotel Bengkulu,,,,,,,Bengkulu,ID,77.52,light rain,-3.8004,102.2655
6,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home,,,,,,,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114
11,Rikitea,PF,75.78,light rain,-23.1203,-134.9692,People ThankYou,,,,,,,Rikitea,PF,75.78,light rain,-23.1203,-134.9692
17,El Tarra,CO,89.58,overcast clouds,8.5756,-73.0949,Casa juvenil Sor Amanda Bedoya,,,,,,,El Tarra,CO,89.58,overcast clouds,8.5756,-73.0949
29,Tabou,CI,84.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou,,,,,,,Tabou,CI,84.6,overcast clouds,4.423,-7.3528
30,Paramirim,BR,84.11,few clouds,-13.4425,-42.2389,Pousada Rio Pequeno,,,,,,,Paramirim,BR,84.11,few clouds,-13.4425,-42.2389
31,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol,,,,,,,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342
32,Russell,US,78.96,scattered clouds,32.3502,-85.1999,Macs,,,,,,,Russell,US,78.96,scattered clouds,32.3502,-85.1999
33,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel,,,,,,,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712
37,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa,,,,,,,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7
41,Gondanglegi,ID,75.88,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo,,,,,,,Gondanglegi,ID,75.88,overcast clouds,-7.7479,112.0132
44,Muros,ES,77.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao,,,,,,,Muros,ES,77.68,clear sky,42.7762,-9.0603
47,Karratha,AU,78.31,overcast clouds,-20.7377,116.8463,ibis Styles Karratha,,,,,,,Karratha,AU,78.31,overcast clouds,-20.7377,116.8463
